time, fr, fl, rr, rl, head, roll, pitch, sys, gyro, acc, mag, proximity
2017-12-12 21:35:10.952072, -352, -5, 152, -1, 359.9375, -45.1875, 178.625, 0, 3, 1, 0, 381
2017-12-12 21:35:12.729545, -368, -157, 153, -27, 359.9375, -45.1875, 178.625, 0, 3, 1, 0, 419
2017-12-12 21:35:14.446099, -1377, -2711, 10, -4147, 0.75, -45.25, 178.3125, 0, 3, 1, 0, 199
2017-12-12 21:35:16.166923, -299, 136, -113, -197, 347.8125, -57.25, -179.125, 0, 3, 1, 0, 773
2017-12-12 21:35:17.887543, -1315, -2833, -935, -1245, 351.5, -45.6875, 178.625, 0, 3, 1, 0, 384
2017-12-12 21:35:19.607808, -1477, 15, -238, -388, 336.8125, -53.5, -175.9375, 0, 3, 1, 0, 521
2017-12-12 21:35:21.333751, -196, -223, -868, -693, 340.4375, -45.6875, 179.125, 0, 3, 1, 0, 581
2017-12-12 21:35:23.053003, -1854, -269, -1995, -1418, 0.0, 0.0, 0.0, 0, 0, 0, 0, 161
2017-12-12 21:35:24.771864, -116, 57, -124, -148, 0.0, 0.0, 0.0, 0, 0, 0, 0, 895
2017-12-12 21:35:26.487855, -2949, -1617, -980, -2330, 0.0, 0.0, 0.0, 0, 0, 0, 0, 107
2017-12-12 21:35:28.204108, -145, 91, -119, -870, 0.0, 0.0, 0.0, 0, 0, 0, 0, 796
2017-12-12 21:35:29.920151, -2897, -322, -1152, -1425, 0.0, 0.0, 0.0, 0, 0, 0, 0, 332
2017-12-12 21:35:31.637225, 203, -1542, -187, -1050, 0.0, 0.0, 0.0, 0, 0, 0, 0, 470
2017-12-12 21:35:33.353112, 416, 50, -1324, -250, 0.0, 0.0, 0.0, 0, 0, 0, 0, 859
2017-12-12 21:35:35.068105, -2925, -3360, -1156, -2050, 0.0, 0.0, 0.0, 0, 0, 0, 0, 211
2017-12-12 21:35:36.784505, -238, 78, -145, -160, 0.0, 0.0, 0.0, 0, 0, 0, 0, 957
2017-12-12 21:35:38.501093, -6357, -1362, -642, -2183, 0.0, 0.0, 0.0, 0, 0, 0, 0, 202
2017-12-12 21:35:40.217370, -176, -2122, -193, -839, 0.0, 0.0, 0.0, 0, 0, 0, 0, 583
2017-12-12 21:35:41.933276, -771, 16, -918, -87, 0.0, 0.0, 0.0, 0, 0, 0, 0, 723
2017-12-12 21:35:43.648740, -1827, -4166, -1405, -1141, 0.0, 0.0, 0.0, 0, 0, 0, 0, 109
2017-12-12 21:35:45.364534, -433, -10, -518, 16, 0.0, 0.0, 0.0, 0, 0, 0, 0, 940
2017-12-12 21:35:47.080433, -7678, -1524, -1043, -2225, 0.0, 0.0, 0.0, 0, 0, 0, 0, 168
2017-12-12 21:35:48.798577, -217, -631, -175, -1410, 0.0, 0.0, 0.0, 0, 0, 0, 0, 620
2017-12-12 21:35:50.515921, -1351, -16, -815, -118, 0.0, 0.0, 0.0, 0, 0, 0, 0, 920
2017-12-12 21:35:52.232281, -734, -4816, -930, -1778, 0.0, 0.0, 0.0, 0, 0, 0, 0, 155
2017-12-12 21:35:53.948757, -2181, -3, -531, -149, 0.0, 0.0, 0.0, 0, 0, 0, 0, 569
2017-12-12 21:35:55.664553, -206, -2758, -523, -659, 0.0, 0.0, 0.0, 0, 0, 0, 0, 513
2017-12-12 21:35:57.380117, -812, 30, -755, -205, 0.0, 0.0, 0.0, 0, 0, 0, 0, 839
2017-12-12 21:35:59.095655, -679, -2985, -1232, -641, 0.0, 0.0, 0.0, 0, 0, 0, 0, 381
2017-12-12 21:36:00.810282, -828, 64, -339, -38, 0.0, 0.0, 0.0, 0, 0, 0, 0, 930
2017-12-12 21:36:02.525999, -2700, -3104, -1069, -3248, 0.0, 0.0, 0.0, 0, 0, 0, 0, 64
2017-12-12 21:36:04.242828, -512, 77, -117, -89, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1136
2017-12-12 21:36:05.872723, -4290, -3165, -941, -1522, 0.0, 0.0, 0.0, 0, 0, 0, 0, 161
2017-12-12 21:36:07.589710, -277, 40, -222, -104, 0.0, 0.0, 0.0, 0, 0, 0, 0, 853
2017-12-12 21:36:09.305466, -532, -1240, -1272, -830, 0.0, 0.0, 0.0, 0, 0, 0, 0, 585
2017-12-12 21:36:11.022433, -1439, -342, -1210, -513, 0.0, 0.0, 0.0, 0, 0, 0, 0, 258
2017-12-12 21:36:12.738113, -222, 25, -165, -49, 0.0, 0.0, 0.0, 0, 0, 0, 0, 967
2017-12-12 21:36:14.463183, -954, -3798, -449, -1304, 0.0, 0.0, 0.0, 0, 0, 0, 0, 328
2017-12-12 21:36:16.188522, -2260, 23, -208, -62, 0.0, 0.0, 0.0, 0, 0, 0, 0, 229
2017-12-12 21:36:17.903854, -136, 103, -89, 12, 0.0, 0.0, 0.0, 0, 0, 0, 0, 684
2017-12-12 21:36:19.618443, -882, -643, -198, -381, 0.0, 0.0, 0.0, 0, 0, 0, 0, 496
2017-12-12 21:36:21.333757, -1096, -123, -275, -104, 0.0, 0.0, 0.0, 0, 0, 0, 0, 77
