time, fr, fl, rr, rl, head, roll, pitch, sys, gyro, acc, mag, proximity
2017-12-18 19:11:24.112657, 40, 3, 5, -28, 358.75, -45.25, 177.6875, 0, 3, 1, 0, 387
2017-12-18 19:11:24.211492, 34, -2, -8, -44, 359.5, -45.5625, 177.25, 0, 3, 1, 0, 388
2017-12-18 19:11:24.309954, 11, 3, -19, -57, 0.0, -45.75, 177.0, 0, 3, 1, 0, 386
2017-12-18 19:11:24.410369, -103, 7, -34, -81, 0.1875, -45.5, 176.875, 0, 3, 1, 0, 387
2017-12-18 19:11:24.509647, 68, 12, -52, -100, 358.3125, -45.375, 177.75, 0, 3, 1, 0, 389
2017-12-18 19:11:24.609793, 20, 4, -54, -98, 355.8125, -45.0, 179.0, 0, 3, 1, 0, 386
2017-12-18 19:11:24.717913, -43, 4, -52, -100, 353.5, -44.5625, 179.3125, 0, 3, 1, 0, 389
2017-12-18 19:11:24.819771, 6, 873, -39, -92, 353.6875, -44.1875, 179.4375, 0, 3, 1, 0, 390
2017-12-18 19:11:24.919567, 42, 1, -14, -84, 353.75, -44.5625, 179.1875, 0, 3, 1, 0, 390
2017-12-18 19:11:25.026200, 108, 14, 18, -70, 354.5, -44.375, 178.25, 0, 3, 1, 0, 385
2017-12-18 19:11:25.131064, 40, 6, 13, -42, 0.0, -45.25, 177.3125, 0, 3, 1, 0, 388
2017-12-18 19:11:25.229550, -4, -14, 19, -6, 359.75, -45.25, 177.5, 0, 3, 1, 0, 388
2017-12-18 19:11:25.327010, 14, -7, 6, -8, 359.6875, -45.25, 177.5, 0, 3, 1, 0, 381
2017-12-18 19:11:25.428217, 19, -6, 1, -8, 359.75, -45.25, 177.5, 0, 3, 1, 0, 389
2017-12-18 19:11:25.528565, 26, -9, -3, -7, 359.9375, -45.25, 177.375, 0, 3, 1, 0, 385
2017-12-18 19:11:25.627035, 17, -7, -9, -2, 359.8125, -45.25, 177.4375, 0, 3, 1, 0, 394
2017-12-18 19:11:25.725000, 17, -7, -7, 0, 359.75, -45.25, 177.4375, 0, 3, 1, 0, 394
2017-12-18 19:11:25.830171, 26, -3, -6, 0, 359.875, -45.25, 177.4375, 0, 3, 1, 0, 398
2017-12-18 19:11:25.936019, 2, 1, 1, -3, 0.6875, -45.125, 177.0625, 0, 3, 1, 0, 397
2017-12-18 19:11:26.035536, 22, 2, 3, -5, 359.4375, -45.75, 177.625, 0, 3, 1, 0, 400
2017-12-18 19:11:26.141315, 28, 1, 2, -19, 357.875, -45.9375, 178.25, 0, 3, 1, 0, 403
2017-12-18 19:11:26.242220, 26, -6, -11, -23, 359.1875, -46.0625, 177.8125, 0, 3, 1, 0, 399
2017-12-18 19:11:26.342504, -20, 2, -13, -16, 358.375, -46.25, 178.125, 0, 3, 1, 0, 398
2017-12-18 19:11:26.441971, 12, -32, 162, -22, 358.3125, -46.3125, 178.375, 0, 3, 1, 0, 398
2017-12-18 19:11:26.918247, -7, -56, 25, 13, 359.3125, -45.9375, 178.0, 0, 3, 1, 0, 398
2017-12-18 19:11:27.006622, -27, -49, 10, 15, 358.625, -45.9375, 178.25, 0, 3, 1, 0, 398
2017-12-18 19:11:27.094971, -26, -33, 2, 4, 359.375, -46.0, 178.0, 0, 3, 1, 0, 403
2017-12-18 19:11:27.183311, -46, -31, 2, 11, 2.0625, -45.25, 176.5625, 0, 3, 1, 0, 397
2017-12-18 19:11:27.271919, -63, -42, 19, 18, 1.1875, -45.0, 176.9375, 0, 3, 1, 0, 399
2017-12-18 19:11:27.360476, -6, -66, 28, 45, 1.4375, -45.0, 176.875, 0, 3, 1, 0, 396
2017-12-18 19:11:27.448999, 2, -74, 21, 52, 355.3125, -44.8125, 177.0625, 0, 3, 1, 0, 399
2017-12-18 19:11:27.548695, 3, -52, 20, 36, 359.4375, -45.375, 177.75, 0, 3, 1, 0, 398
2017-12-18 19:11:27.647338, 15, -21, 18, 31, 359.75, -45.25, 177.625, 0, 3, 1, 0, 394
2017-12-18 19:11:27.747305, 29, -9, 7, 15, 359.9375, -45.1875, 177.5625, 0, 3, 1, 0, 394
2017-12-18 19:11:27.846753, 37, -12, -5, 11, 359.8125, -45.25, 177.625, 0, 3, 1, 0, 394
2017-12-18 19:11:27.947322, 40, -10, -7, 13, 359.875, -45.3125, 177.5625, 0, 3, 1, 0, 392
2017-12-18 19:11:28.047886, 42, -10, -10, 13, 359.875, -45.3125, 177.5625, 0, 3, 1, 0, 403
2017-12-18 19:11:28.148485, 45, -7, -8, 15, 359.75, -45.3125, 177.625, 0, 3, 1, 0, 406
2017-12-18 19:11:28.243711, 41, -7, 4, 17, 359.9375, -45.25, 177.5625, 0, 3, 1, 0, 425
2017-12-18 19:11:28.342371, 42, -8, -11, 15, 359.875, -45.3125, 177.5625, 0, 3, 1, 0, 437
2017-12-18 19:11:30.004946, 39, -11, -8, 12, 359.9375, -45.3125, 177.5625, 0, 3, 1, 0, 516
2017-12-18 19:11:30.040733, 46, -16, -15, 10, 359.9375, -45.3125, 177.5625, 0, 3, 1, 0, 512
2017-12-18 19:11:30.143981, 46, -18, -9, 11, 359.9375, -45.3125, 177.5625, 0, 3, 1, 0, 507
2017-12-18 19:11:30.249562, 41, -7, -2, 15, 359.9375, -45.3125, 177.5625, 0, 3, 1, 0, 502
2017-12-18 19:11:30.719609, 35, 8, -8, 13, 0.0, -45.25, 177.5625, 0, 3, 1, 0, 482
2017-12-18 19:11:30.806788, 58, 1, -7, 11, 359.8125, -45.3125, 177.625, 0, 3, 1, 0, 486
2017-12-18 19:11:30.893807, 47, 3, 12, 18, 0.3125, -45.4375, 177.375, 0, 3, 1, 0, 501
2017-12-18 19:11:30.980884, 49, -7, 4, 16, 358.25, -45.5625, 178.1875, 0, 3, 1, 0, 504
2017-12-18 19:11:31.068183, 16, -99, 7, 66, 355.6875, -44.3125, 177.4375, 0, 3, 1, 0, 508
2017-12-18 19:11:31.155423, 155, -135, 15, 122, 357.5, -44.25, 176.5, 0, 3, 1, 0, 494
2017-12-18 19:11:31.252909, 376, 45, 31, 144, 0.4375, -43.75, 177.4375, 0, 3, 1, 0, 488
2017-12-18 19:11:31.353538, 440, 137, 34, 145, 4.625, -42.75, 177.6875, 0, 3, 1, 0, 450
2017-12-18 19:11:31.453049, 441, 152, 31, 146, 9.6875, -42.25, 177.75, 0, 3, 1, 0, 425
2017-12-18 19:11:31.551921, 442, 151, 30, 145, 15.375, -41.4375, 179.0, 0, 3, 1, 0, 370
2017-12-18 19:11:31.651868, 464, 153, 27, 148, 21.625, -40.75, -179.625, 0, 3, 1, 0, 345
2017-12-18 19:11:31.752818, 474, 158, 37, 149, 28.9375, -40.75, -178.5, 0, 3, 1, 0, 316
2017-12-18 19:11:31.851378, 474, 162, 41, 146, 36.5, -41.0625, -176.8125, 0, 3, 1, 0, 304
2017-12-18 19:11:31.957000, 474, 164, 39, 144, 43.25, -41.1875, -175.3125, 0, 3, 1, 0, 304
