time, fr, fl, rr, rl, head, roll, pitch, sys, gyro, acc, mag, proximity
2017-12-12 21:42:00.595684, 15, 3, 0, -10, 359.9375, -45.0, 177.6875, 0, 3, 1, 0, 368
2017-12-12 21:42:02.364883, 16, 26, -1, -11, 358.125, -45.625, 178.4375, 0, 3, 1, 0, 411
2017-12-12 21:42:04.087549, 17, 20, -20, -55, 358.3125, -45.6875, 178.3125, 0, 3, 1, 0, 417
2017-12-12 21:42:06.197329, 11, 181, -42, -8, 358.1875, -46.875, 178.5, 0, 3, 1, 0, 422
2017-12-12 21:42:07.976239, 26, 2, -36, -35, 359.9375, -46.1875, 177.5, 0, 3, 1, 0, 371
2017-12-12 21:42:09.715541, 442, 222, 53, 148, 104.375, -49.125, -175.5625, 0, 3, 1, 0, 483
2017-12-12 21:42:11.436597, -1640, -875, -28, -780, 108.8125, -46.4375, -173.5, 0, 3, 1, 0, 370
2017-12-12 21:42:13.169266, -1568, -4007, -424, -1549, 108.25, -46.875, -173.6875, 0, 3, 1, 1, 119
2017-12-12 21:42:14.901126, 174, -125, -126, -650, 112.1875, -46.375, -174.625, 0, 3, 1, 1, 619
2017-12-12 21:42:16.625475, -3180, -22, -1205, -486, 98.8125, -52.5, -172.9375, 0, 3, 1, 1, 465
2017-12-12 21:42:18.344335, -3010, -3081, -328, -3516, 97.3125, -46.5625, -175.1875, 0, 3, 1, 1, 77
2017-12-12 21:42:20.063215, 516, -19, -28, -181, 87.5625, -47.1875, -175.3125, 0, 3, 1, 1, 452
2017-12-12 21:42:21.781905, -1553, 30, -1427, -210, 79.5, -53.0, -170.125, 0, 3, 1, 1, 514
2017-12-12 21:42:23.503263, -2366, -3556, -562, -2490, 88.125, -46.5, -176.5625, 0, 3, 1, 1, 75
2017-12-12 21:42:25.224863, 201, 35, -36, 13, 331.6875, -45.125, -175.4375, 3, 3, 1, 2, 645
2017-12-12 21:42:26.946054, -2908, -282, -2191, -1296, 353.1875, -41.25, -171.5, 3, 3, 1, 2, 136
2017-12-12 21:42:28.673113, 175, -2741, -290, -525, 30.5625, -43.25, -176.1875, 2, 3, 1, 2, 365
2017-12-12 21:42:30.392867, 464, 78, -233, -3, 23.0, -49.0, -173.125, 2, 3, 1, 2, 751
2017-12-12 21:42:32.120123, -6343, -1462, -629, -1700, 25.5, -43.1875, -175.25, 2, 3, 1, 2, 247
2017-12-12 21:42:33.843570, 334, -1679, -607, -795, 31.5625, -44.1875, -174.8125, 2, 3, 1, 2, 186
2017-12-12 21:42:35.570390, 147, -381, -40, -358, 0.0, 0.0, 0.0, 0, 0, 0, 0, 644
2017-12-12 21:42:37.288364, -3097, -48, -1100, -210, 0.0, 0.0, 0.0, 0, 0, 0, 0, 371
